Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.8,pearson,mean,0.001214131197379492,0.06741834473726825,0.003639661925376211,0.003639661925376211
0.8,pearson,stdev,9.73162045240687e-05,0.009398381829148914,0.0005983008459914708,0.0005983008459914708
0.9,kullback-leibler,mean,0.000935454452498787,0.11970509355165353,0.004183879612451041,0.004339723768295197
0.9,kullback-leibler,stdev,8.402257846741372e-05,0.0029595723238027105,0.0008586304268957348,0.0009395283954848675
0.9,hellinger,mean,0.0006937835454091611,0.4314770950564114,0.00420614306328592,0.00420614306328592
0.9,hellinger,stdev,7.78283540479939e-05,0.009502386991730467,0.0010827065821977634,0.0010827065821977634
0.9,pearson,mean,0.001214131197379492,0.06741986428083839,0.003639661925376211,0.003639661925376211
0.9,pearson,stdev,9.73162045240687e-05,0.009399376957480122,0.0005983008459914708,0.0005983008459914708
1.0,kullback-leibler,mean,0.000935454452498787,0.11971589578859196,0.004183879612451041,0.004339723768295197
1.0,kullback-leibler,stdev,8.402257846741372e-05,0.002965299849200866,0.0008586304268957348,0.0009395283954848675
1.0,hellinger,mean,0.0006937835454091611,0.4315090554355273,0.00420614306328592,0.00420614306328592
1.0,hellinger,stdev,7.78283540479939e-05,0.009524084211941588,0.0010827065821977634,0.0010827065821977634
1.0,pearson,mean,0.001214131197379492,0.06744174697558893,0.003639661925376211,0.003639661925376211
1.0,pearson,stdev,9.73162045240687e-05,0.009396638644518434,0.0005983008459914708,0.0005983008459914708
